GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0100000US,,United States,4855,Charter bus industry,2016,1287,34262,234398,1070284
0100000US,,United States,4859,Other transit and ground passenger transportation,2016,5157,94919,567514,2483855
0100000US,,United States,4861,Pipeline transportation of crude oil,2016,785,14202,476633,1526553
0100000US,,United States,4862,Pipeline transportation of natural gas,2016,2218,30698,1041428,3501174
0100000US,,United States,4869,Other pipeline transportation,2016,692,8757,311695,994184
0100000US,,United States,4871,"Scenic and sightseeing transportation, land",2016,753,11865,76428,371314
0100000US,,United States,4872,"Scenic and sightseeing transportation, water",2016,1867,14488,94602,554022
0100000US,,United States,4879,"Scenic and sightseeing transportation, other",2016,226,2712,28280,135092
0100000US,,United States,4881,Support activities for air transportation,2016,5829,184818,1881008,7893885
0100000US,,United States,4882,Support activities for rail transportation,2016,1347,41686,506121,2009046
0100000US,,United States,4883,Support activities for water transportation,2016,2555,93444,1622098,6432132
0100000US,,United States,4884,Support activities for road transportation,2016,11362,89473,707458,3044120
0100000US,,United States,4885,Freight transportation arrangement,2016,20780,266153,3652988,14876312
0100000US,,United States,4889,Other support activities for transportation,2016,1754,17241,145913,622395
0100000US,,United States,4921,Couriers and express delivery services,2016,10198,566393,6154850,25369551
0100000US,,United States,4922,Local messengers and local delivery,2016,4467,45553,319139,1427135
0100000US,,United States,4931,Warehousing and storage,2016,15395,834064,8622263,36489781
0100000US,,United States,5111,"Newspaper, periodical, book, and directory publishers",2016,17256,370408,5836978,22407823
0100000US,,United States,5112,Software publishers,2016,10230,546191,20431263,83782339
0100000US,,United States,5121,Motion picture and video industries,2016,21936,424638,3760832,15412236
0100000US,,United States,5122,Sound recording industries,2016,3561,22940,541176,1998907
0100000US,,United States,5151,Radio and television broadcasting,2016,7598,217316,4014983,15720528
0100000US,,United States,5152,Cable and other subscription programming,2016,713,49756,2027111,6607373
0100000US,,United States,5171,Wired telecommunications carriers,2016,36257,753259,17328511,59528636
